Petko Valtchev
AnHai Doan
John Davies
Jeff Heflin
Willem Robert van Hage
John Li
Christian Fillies
Bill Andersen
Mike Uschold
Natasha Noy
Sean Bechhofer
Asunci¨®n G¨®mez-P¨¦rez
York Sure
Yannis Kalfoglou
Richard Benjamins
Oscar Corcho
Nathalie Aussenac-Gilles
Riichiro Mizoguchi
Umberto Straccia
Atanas Kiryakov
Rudi Studer
Takahira Yamaguchi
Leo Obrst
Ryutaro Ichise
Bill Anderson
Pavel Shvaiko
Rapha?l Troncy
Marco Schorlemmer
Carole Goble
Jingshan Huang
Wei Hu
Andreas Hess
Deborah McGuinness
Vojtech Svatek
Natasha F. Noy
Benjamin Ashpole
Tadashi Hoshiai
Todd Hughes
Satya Sahoo
Lewis Hart
Ontoprise GmbH  
Dean Allemang
Heiner Stuckenschmidt
Kouji Kozaki
Meenakshi Nagarajan
Steffen Staab 
J¨¹rgen Angele
Malgorzata Mochol
Raphael Troncy
Mikalai Yatskevich
Henrik Oppermann
Fausto Giunchiglia
Michael Huhns
Norman Sadeh
Paolo Bouquet
J¨¦r?me Euzenat
Michael Uschold
