Phil Agre
Rod Brooks
Jon Doyle
Edmund Durfee
Timothy Finin
Les Gasser
Michael Genesereth
Benjamin Grosof
Barbara Hayes-Roth
Marti Hearst
Vasant Honavar
Michael Huhns
Leslie Kaelbling
Robert Kowalski
John Laird
Douglas Lenat
Victor Lesser
Hector Levesque
Henry Lieberman
Pattie Maes
Nils Nilsson
Peter Norvig
Jeff Rosenchein
Stuart Russell
Ted Selker
Yoav Shoham
Munindar Singh
Lynn Stein
Milind Tambe
Alan Turing
Michael Wellman
Terry Winograd
Michael Wooldridge
Shlomo Zilberstein
Monte Zweben
